node1,node2,arrow,label
A. Landform,Category,->,
A.1 Surface landform,A. Landform,->,
A.2 Underground landform,A. Landform,->,
A.3 Hydrological form,A. Landform,->,
A.4 Other,A. Landform,->,
B. Process,Category,->,
B.1 Movement,B. Process,->,
B.2 Loss,B. Process,->,
B.3 Addition,B. Process,->,
B.4 Transformation,B. Process,->,
C. Geome,Category,->,
D. Element/Entity/Property,Category,->,
D.1 Abiotic,D. Element/Entity/Property,->,
D.2 Biotic,D. Element/Entity/Property,->,
D.3 Property,D. Element/Entity/Property,->,
D.3.1 Geolocation,D.3 Property,->,
E. Instrument or method,Category,->,
E.1 Instrument,E. Instrument or method,->,
E.2 Method,E. Instrument or method,->,
breccia,D.1 Abiotic,->,
of rock,breccia,->,has form
canopy,A.2 Underground landform,->,
consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge,canopy,->,has form
canyon,A.1 Surface landform,->,
canyon,A.2 Underground landform,->,
deep valley with steep to vertical walls,canyon,->,has form
frequently formed by a river rising on impervious rocks outside the karst area,canyon,->,has cause
"deep , elongated cavity",canyon,->,has form
forming a cave passage,canyon,->,has function
cut by running water in the roof or floor of a cave,canyon,->,has cause
cave,A.2 Underground landform,->,
in rock,cave,->,composed
large enough to be entered by man,cave,->,has size
cave blister,A.2 Underground landform,->,
almost perfect hemisphere,cave blister,->,has form
cave coral,A.2 Underground landform,->,
usually occurring in numbers in patches,cave coral,->,has form
very small,cave coral,->,has size
cave earth,D.1 Abiotic,->,
in a cave,cave earth,->,is located
in a cave,corridor,->,is located
in a cave,cave formation,->,is located
in a cave,cave ice,->,is located
in a cave,chute,->,is located
in a cave,backflooding,->,is located
in a cave,chamber,->,is located
in a cave,keyhole,->,is located
in a cave,cave breccia,->,is located
in a cave,shaft,->,is located
cave ecology,E.2 Method,->,
cave fill,D.1 Abiotic,->,
cover the bedrock floor,cave fill,->,is located
cave pearl,A.2 Underground landform,->,
smooth ### polished ### rounded,cave pearl,->,has form
found in shallow hollows into which water drips,cave pearl,->,is located
cave spring,A.3 Hydrological form,->,
inside a cave,cave spring,->,is located
from rock or sediment,cave spring,->,composed
cave system,A.2 Underground landform,->,
cavern,A.2 Underground landform,->,
within a cave,cavern,->,is located
very large,cavern,->,has size
cenote,A.1 Surface landform,->,
wall-sided,cenote,->,has form
halb-kugel,A.1 Surface landform,->,
A hemispheric hill,halb-kugel,->,has form
A hemispheric hill,cupola,->,has form
A hemispheric hill,cupole,->,has form
cupola,A.1 Surface landform,->,
cupole,A.1 Surface landform,->,
scallop,A.2 Underground landform,->,
Shallow ### asymmetrical,scallop,->,has form
Shallow ### asymmetrical,current marking,->,has form
caused by turbulent waterflow,scallop,->,has cause
caused by turbulent waterflow,current marking,->,has cause
distributed in rather regular fashion over limestone surfaces,scallop,->,is located
distributed in rather regular fashion over limestone surfaces,current marking,->,is located
current marking,A.2 Underground landform,->,
curtain,A.2 Underground landform,->,
often translucent and resonant,curtain,->,has form
often translucent and resonant,bacon,->,has form
often translucent and resonant,drapery,->,has form
often translucent and resonant,blanket,->,has form
hanging from the roof or projecting from the wall of a cave,curtain,->,is located
hanging from the roof or projecting from the wall of a cave,bacon,->,is located
hanging from the roof or projecting from the wall of a cave,drapery,->,is located
hanging from the roof or projecting from the wall of a cave,blanket,->,is located
bacon,A.2 Underground landform,->,
drapery,A.2 Underground landform,->,
blanket,A.2 Underground landform,->,
cutter,A.1 Surface landform,->,
Solution crevice in limestone,cutter,->,has form
underlying residual phosphate deposits,cutter,->,is located
Karren-like,cutter,->,has form
Karren-like,subsoil karren,->,has form
Karren-like,karren,->,has form
formed beneath the soil,cutter,->,is located
formed beneath the soil,subsoil karren,->,is located
formed beneath the soil,karren,->,is located
formed beneath the soil,bodenkarren,->,is located
subsoil karren,A.1 Surface landform,->,
karren,A.1 Surface landform,->,
dead cave,A.2 Underground landform,->,
in which all solution and precipitation has cersed,dead cave,->,has cause
doline,A.1 Surface landform,->,
basin - or funnel-shaped,doline,->,has form
formed mainly by direct solution of the limestone surface zone,doline,->,has cause
ranging in diameter from a few meters to a kilometer,doline,->,has size
doline lake,A.3 Hydrological form,->,
occupying a doline,doline lake,->,is located
small,doline lake,->,has size
small,keyhole,->,has size
small,blowhole,->,has size
small,meanderkarren,->,has size
small,sinking creek,->,has size
small,rainpits,->,has size
dolomite,D.1 Abiotic,->,
dolostone,D.1 Abiotic,->,
dolomitization,B. Process,->,
whereby limestone becomes dolomite,dolomitization,->,has function
by the substitution of magnesium carbonate for part of the original calcium carbonate,dolomitization,->,has cause
thin sheet,bacon,->,has form
thin sheet,curtain,->,has form
thin sheet,blanket,->,has form
thin sheet,drapery,->,has form
driphole,A.2 Underground landform,->,
produced by fast-dripping water,driphole,->,has cause
Hollow,driphole,->,has form
Hollow,capillary stalagmite,->,has form
"surrounded by precipitated material , such as the bottom of a stalactite",driphole,->,is located
flowstone,D.1 Abiotic,->,
deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,flowstone,->,has cause
