node,color,shape
Category,yellow,box
A. Landform,#796fb3,box
A.1 Surface landform,#8b88bf,box
A.2 Underground landform,#8b88bf,box
A.3 Hydrological form,#8b88bf,box
A.4 Other,#8b88bf,box
B. Process,#3888c0,box
B.1 Movement,#519ccc,box
B.2 Loss,#519ccc,box
B.3 Addition,#519ccc,box
B.4 Transformation,#519ccc,box
C. Geome,#696969,box
D. Element/Entity/Property,#e95f0d,box
D.1 Abiotic,#f57622,box
D.2 Biotic,#f57622,box
D.3 Property,#f57622,box
D.3.1 Geolocation,#f77b28,box
E. Instrument or method,#37a155,box
E.1 Instrument,#54b466,box
E.2 Method,#54b466,box
breccia,#fdb87b,box
of rock,white,box
canopy,#c5c5e0,box
consisting of a flowstone cover of a bedrock projection and of a fringe of stalactites or shawls on the outer edge,white,box
canyon,#c5c5e0,box
deep valley with steep to vertical walls,white,box
frequently formed by a river rising on impervious rocks outside the karst area,white,box
"deep , elongated cavity",white,box
forming a cave passage,white,box
cut by running water in the roof or floor of a cave,white,box
cave,#c5c5e0,box
in rock,white,box
large enough to be entered by man,white,box
cave blister,#c5c5e0,box
almost perfect hemisphere,white,box
cave coral,#c5c5e0,box
usually occurring in numbers in patches,white,box
very small,white,box
cave earth,#fdb87b,box
in a cave,white,box
cave ecology,#acdda6,box
cave fill,#fdb87b,box
cover the bedrock floor,white,box
cave pearl,#c5c5e0,box
smooth ### polished ### rounded,white,box
found in shallow hollows into which water drips,white,box
cave spring,#c5c5e0,box
inside a cave,white,box
from rock or sediment,white,box
cave system,#c5c5e0,box
cavern,#c5c5e0,box
within a cave,white,box
very large,white,box
cenote,#c5c5e0,box
wall-sided,white,box
halb-kugel,#c5c5e0,box
A hemispheric hill,white,box
cupola,#c5c5e0,box
cupole,#c5c5e0,box
scallop,#c5c5e0,box
Shallow ### asymmetrical,white,box
caused by turbulent waterflow,white,box
distributed in rather regular fashion over limestone surfaces,white,box
current marking,#c5c5e0,box
curtain,#c5c5e0,box
often translucent and resonant,white,box
hanging from the roof or projecting from the wall of a cave,white,box
bacon,#c5c5e0,box
drapery,#c5c5e0,box
blanket,#c5c5e0,box
cutter,#c5c5e0,box
Solution crevice in limestone,white,box
underlying residual phosphate deposits,white,box
Karren-like,white,box
formed beneath the soil,white,box
subsoil karren,#c5c5e0,box
karren,#c5c5e0,box
dead cave,#c5c5e0,box
in which all solution and precipitation has cersed,white,box
doline,#c5c5e0,box
basin - or funnel-shaped,white,box
formed mainly by direct solution of the limestone surface zone,white,box
ranging in diameter from a few meters to a kilometer,white,box
doline lake,#c5c5e0,box
occupying a doline,white,box
small,white,box
dolomite,#fdb87b,box
dolostone,#fdb87b,box
dolomitization,#aacfe5,box
whereby limestone becomes dolomite,white,box
by the substitution of magnesium carbonate for part of the original calcium carbonate,white,box
thin sheet,white,box
driphole,#c5c5e0,box
produced by fast-dripping water,white,box
Hollow,white,box
"surrounded by precipitated material , such as the bottom of a stalactite",white,box
flowstone,#fdb87b,box
deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,white,box
dripstone,#fdb87b,box
dry cave,#c5c5e0,box
collapse breccia,#fdb87b,box
"has formed as the result of the collapse of the roof of a cave , of an underlying cave , or of an overhanging ledge",white,box
collapse sink,#c5c5e0,box
closed,white,box
formed by the collapse of tie roof of a cave,white,box
conduit,#c5c5e0,box
subterranean,white,box
cone karst,#c5c5c5,box
characterized by star-shaped depressions,white,box
common in the tropicr,white,box
constructive waterfall,#c5c5e0,box
on a surface stream,white,box
large,white,box
conulite,#c5c5e0,box
"hollow , cone-shaped",white,box
formed when a conical depression is drilled in cave mud by falling water,white,box
corridor,#c5c5e0,box
level and straight,white,box
Intersecting linear depressions,white,box
on the surface of the land,white,box
corrosion,#aacfe5,box
by solution or chemical action,white,box
corrasion,#aacfe5,box
cove,#c5c5e0,box
Narrow steep-sided,white,box
flanking limestone plateaus,white,box
crawl,#c5c5e0,box
crescentic wall niche,white,box
that must be negotiated on hands and knees,white,box
crawlway,#c5c5e0,box
crevice karst,#c5c5c5,box
intricate irregular,white,box
has formed by solution widening of closely spaced joints,white,box
near rivers,white,box
Crevices may be as much as 6 meters across and 20 meters deep,white,box
crust stone,#fdb87b,box
looks like a flaky crust,white,box
covering portions of walls of caves,white,box
crystal cave,#c5c5e0,box
crystal pool,#c5c5e0,box
generally having little or no overflow,white,box
In caves,white,box
dead end,#c5c5e0,box
having only one entry,white,box
cul-de-sac,#c5c5e0,box
oulo - pholite,#c5c5e0,box
elongate curved,white,box
on a cave wall,white,box
gypsum flower,#c5c5e0,box
cave flower,#c5c5e0,box
cave formation,#c5c5e0,box
"formed by the accumulation , dripping , or flowing of water",white,box
cave group,#c5c5e0,box
cave guano,#fdb87b,box
in some places partially mineralized,white,box
in caves,white,box
cave ice,#c5c5e0,box
formed by natural freezing of water,white,box
cave-in,#aacfe5,box
The collapse of the ceiling or side walls of a cave or of the land surface into a subterranean passage as a result of undermining or of pressure from above,white,box
cave marble,#c5c5e0,box
Banded,white,box
capable of taking a high polish,white,box
pisolith,#c5c5e0,box
formed by concentric precipitation around a nucleus,white,box
Small,white,box
pisolite,#c5c5e0,box
cave series,#c5c5e0,box
in a particular district,white,box
"in a cave , cave system",white,box
underground,white,box
larger-than-average size,white,box
ceiling block,#c5c5e0,box
cubical,white,box
ceiling cavity,#c5c5e0,box
Solutional,white,box
in the ceiling of a cave,white,box
ceiling meander,#c5c5e0,box
winding upside-down channel,white,box
in a cave ceiling,white,box
ceiling slab,#c5c5e0,box
thin,white,box
that has fallen from the ceiling of a cave in roughly horizontal limestone,white,box
extensive,white,box
roof slab,#c5c5e0,box
lampenflora,#fdb87b,box
"growing on illuminated areas such as rocky surfaces , sediment and artificial materials around lamps",white,box
kras,#fdb87b,box
epikarst aquifer,#c5c5c5,box
saturated,white,box
that stores a part of the infiltrated water,white,box
within the superficial part of the karst,white,box
dry valleys,#c5c5e0,box
time series analysis,#acdda6,box
mostly used to improve the understanding of the hydrological behaviour of karst systems,white,box
speleogenesis,#aacfe5,box
"critically depends on both , the aggressiveness of groundwater and its circulation ( movement )",white,box
groundwater,#fdb87b,box
tafoni geomorphology,#c5c5e0,box
a hollow shape,white,box
carved by erosion,white,box
in the coastal carbonates,white,box
rounded several decimeters to several meters,white,box
littoral caves,#c5c5e0,box
formed primarily by wave action,white,box
sea caves,#c5c5e0,box
spring mounds,#fdb87b,box
hot beds of biological activity,white,box
In desert environments,white,box
